CodiProv CodiDiagnost dies sexe
21 0402 960 H
21 0501 48 H
21 0502 209 H
21 0503 204 H
21 0504 1714 H
21 0505 544 H
21 0506 454 H
21 0601 60 H
21 0602 34 H
21 0603 729 H
21 0604 383 H
21 0605 2023 H
21 0701 -99 H
21 0702 250 H
21 0800 492 H
21 0901 2644 H
21 0902 1021 H
21 0903 3752 H
21 0904 1884 H
21 0905 910 H
21 0906 2838 H
21 0907 4165 H
21 0908 5953 H
21 0909 1978 H
21 0910 68 H
21 0911 2959 H
21 1001 482 H
21 1002 3242 H
21 1003 1959 H
21 1004 117 H
21 1005 658 H
21 1006 3344 H
21 1007 156 H
21 1008 5820 H
21 1101 29 H
21 1102 218 H
21 1103 379 H
21 1104 680 H
21 1105 348 H
21 1106 967 H
21 1107 547 H
21 1108 719 H
21 1109 656 H
21 1110 579 H
21 1111 949 H
21 1112 828 H
21 1113 523 H
21 1114 741 H
21 1115 723 H
21 1116 783 H
21 1117 2419 H
21 1118 791 H
21 1119 2259 H
21 1120 1486 H
21 1201 670 H
21 1202 38 H
21 1203 588 H
21 1301 340 H
21 1302 770 H
21 1303 142 H
21 1304 847 H
21 1305 188 H
21 1306 497 H
21 1307 1264 H
21 1308 395 H
21 1309 468 H
21 1310 709 H
21 1401 641 H
21 1402 1202 H
21 1403 686 H
21 1404 1609 H
21 1405 465 H
21 1406 588 H
21 1407 34 H
21 1408 -99 H
21 1409 -99 H
21 1410 124 H
21 1501 -99 H
21 1502 -99 H
21 1503 -99 H
21 1504 -99 H
21 1505 -99 H
21 1506 -99 H
21 1507 -99 H
21 1508 -99 H
21 1601 1063 H
21 1602 847 H
21 1700 250 H
21 1801 1601 H
21 1802 835 H
21 1803 81 H
21 1804 5030 H
21 1901 809 H
21 1902 221 H
21 1903 456 H
21 1904 1263 H
21 1905 612 H
21 1906 3423 H
21 1907 5 H
21 1908 382 H
21 1909 3341 H
21 1911 121 H
21 2101 30 H
21 2102 -99 H
21 2103 2 H
21 2104 465 H
21 2105 470 H
21 9998 6 H
21 0101 640 M
21 0102 102 M
21 0103 83 M
21 0104 1406 M
21 0105 43 M
21 0106 1048 M
21 0201 1741 M
21 0202 589 M
21 0203 87 M
21 0204 972 M
21 0205 485 M
21 0206 181 M
21 0207 -99 M
21 0208 223 M
21 0209 4294 M
21 0210 65 M
21 0211 56 M
21 0212 417 M
21 0213 924 M
21 0301 1550 M
21 0302 472 M
21 0401 886 M
21 0402 1648 M
21 0501 83 M
21 0502 -99 M
21 0503 12 M
21 0504 1074 M
21 0505 1106 M
21 0506 970 M
21 0601 131 M
21 0602 90 M
21 0603 602 M
21 0604 367 M
21 0605 1988 M
21 0701 -99 M
21 0702 325 M
21 0800 340 M
21 0901 3536 M
21 0902 978 M
21 0903 1323 M
21 0904 1077 M
21 0905 858 M
21 0906 1967 M
21 0907 6171 M
21 0908 4929 M
21 0909 812 M
21 0910 67 M
21 0911 2073 M
21 1001 521 M
21 1002 2516 M
21 1003 1943 M
21 1004 113 M
21 1005 358 M
21 1006 994 M
21 1007 521 M
21 1008 5291 M
21 1101 12 M
21 1102 158 M
21 1103 210 M
21 1104 272 M
21 1105 425 M
21 1106 676 M
21 1107 93 M
21 1108 1104 M
21 1109 713 M
21 1110 685 M
21 1111 685 M
21 1112 701 M
21 1113 450 M
21 1114 659 M
21 1115 230 M
21 1116 522 M
21 1117 2358 M
21 1118 878 M
21 1119 2114 M
21 1120 1473 M
21 1201 572 M
21 1202 62 M
21 1203 745 M
21 1301 391 M
21 1302 1551 M
21 1303 85 M
21 1304 460 M
21 1305 319 M
21 1306 342 M
21 1307 1448 M
21 1308 556 M
21 1309 457 M
21 1310 757 M
21 1401 863 M
21 1402 689 M
21 1403 756 M
21 1404 1817 M
21 1405 -99 M
21 1406 -99 M
21 1407 95 M
21 1408 269 M
21 1409 61 M
21 1410 1270 M
21 1501 1 M
21 1502 412 M
21 1503 10112 M
21 1504 2392 M
21 1505 1148 M
21 1506 623 M
21 1507 153 M
21 1508 1580 M
21 1601 1725 M
21 1602 594 M
21 1700 186 M
21 1801 1235 M
21 1802 992 M
21 1803 26 M
21 1804 4512 M
21 1901 461 M
21 1902 192 M
21 1903 418 M
21 1904 3461 M
21 1905 728 M
21 1906 3157 M
21 1907 3 M
21 1908 384 M
21 1909 3156 M
21 1911 80 M
21 2101 28 M
21 2102 2 M
21 2103 -99 M
21 2104 348 M
21 2105 676 M
21 9999 11 M
23 0101 318 H
23 0102 70 H
23 0103 97 H
23 0104 2461 H
23 0105 322 H
23 0106 1261 H
23 0201 3781 H
23 0202 2652 H
23 0203 81 H
23 0204 48 H
23 0205 -99 H
23 0206 -99 H
